pasi_rezolutie;timp_rezolutie;cpu_rezolutie;memorie_rezolutie;pasi_dp;timp_dp;cpu_dp;memorie_dp;pasi_dpll;timp_dpll;cpu_dpll;memorie_dpll;rezultat
1471;0,223272;0,203125;0,91;111;0,022332;0,031250;0,00;64;0,009955;0,000000;0,26;SAT
1860;0,341791;0,296875;0,00;134;0,024160;0,031250;0,00;65;0,012489;0,015625;0,29;SAT
1578;0,252146;0,234375;0,20;125;0,030933;0,031250;0,00;51;0,033685;0,000000;0,41;SAT
1738;0,254235;0,250000;0,12;121;0,033177;0,031250;0,00;58;0,008976;0,000000;0,46;SAT
1735;0,301544;0,265625;0,52;128;0,020422;0,015625;0,00;62;0,009685;0,015625;0,22;SAT
1578;0,255539;0,187500;0,00;122;0,017331;0,015625;0,00;61;0,047862;0,015625;0,08;SAT
1609;0,290241;0,234375;0,00;121;0,020585;0,031250;0,00;62;0,013673;0,000000;0,00;SAT
1762;0,239537;0,250000;0,41;127;0,028053;0,015625;0,00;61;0,019819;0,000000;0,09;SAT
1735;0,275334;0,250000;0,11;118;0,028353;0,015625;0,00;63;0,035372;0,000000;0,43;SAT
1789;0,305074;0,265625;0,34;109;0,021787;0,015625;0,00;62;0,015228;0,000000;0,07;SAT
1384;0,230696;0,171875;0,57;134;0,020443;0,015625;0,00;54;0,009950;0,015625;0,07;SAT
100;0,003922;0,000000;0,41;116;0,027369;0,015625;0,01;2;0,004231;0,000000;0,00;UNSAT
1829;0,265451;0,234375;0,00;128;0,022259;0,015625;0,00;60;0,020543;0,015625;0,23;SAT
1813;0,338176;0,296875;0,58;124;0,021563;0,031250;0,00;58;0,008475;0,000000;0,38;SAT
2061;0,356942;0,312500;0,14;125;0,034131;0,015625;0,00;59;0,017357;0,000000;0,56;SAT
1562;0,271878;0,234375;0,00;126;0,021668;0,015625;0,04;61;0,014637;0,015625;0,28;SAT
1625;0,278148;0,234375;0,00;129;0,019754;0,015625;0,00;61;0,019162;0,015625;0,05;SAT
1794;0,274784;0,250000;0,14;135;0,033443;0,031250;0,00;59;0,041710;0,015625;0,23;SAT
1605;0,243437;0,250000;0,00;124;0,017545;0,015625;0,00;57;0,011813;0,015625;0,14;SAT
1675;0,254774;0,218750;0,30;119;0,029075;0,015625;0,00;56;0,015975;0,000000;0,35;SAT
1522;0,244835;0,234375;0,24;124;0,025070;0,031250;0,00;54;0,011020;0,000000;0,00;SAT
100;0,068398;0,062500;0,32;130;0,028557;0,015625;0,01;2;0,004672;0,015625;0,00;UNSAT
1834;0,300185;0,265625;0,00;137;0,020964;0,015625;0,00;57;0,007041;0,015625;0,11;SAT
1557;0,268733;0,218750;1,09;108;0,016514;0,015625;0,00;62;0,010108;0,015625;0,10;SAT
1945;0,311827;0,218750;0,08;123;0,025494;0,031250;0,00;55;0,009242;0,015625;0,14;SAT
100;0,010522;0,000000;0,30;118;0,019562;0,015625;0,00;2;0,002555;0,000000;0,00;UNSAT
100;0,003039;0,000000;0,14;107;0,020496;0,015625;0,00;2;0,000647;0,000000;0,00;UNSAT
1776;0,222592;0,218750;0,00;121;0,013411;0,000000;0,00;59;0,007311;0,015625;0,16;SAT
2038;0,286166;0,265625;0,00;121;0,012553;0,000000;0,00;56;0,006644;0,015625;0,40;SAT
100;0,015088;0,015625;0,41;135;0,030747;0,015625;0,00;2;0,002746;0,015625;0,00;UNSAT
1872;0,273152;0,250000;0,86;109;0,012668;0,015625;0,00;63;0,007385;0,015625;0,14;SAT
1735;0,240991;0,203125;0,33;97;0,010802;0,015625;0,04;61;0,006110;0,000000;0,15;SAT
1596;0,200562;0,203125;0,50;115;0,016965;0,015625;0,00;54;0,006714;0,015625;0,00;SAT
1526;0,223945;0,218750;0,00;107;0,009757;0,000000;0,02;59;0,005341;0,000000;0,09;SAT
100;0,010777;0,015625;0,30;121;0,021274;0,015625;0,00;2;0,003405;0,000000;0,00;UNSAT
1482;0,225945;0,203125;0,05;128;0,011392;0,015625;0,00;60;0,004995;0,000000;0,00;SAT
