pasi_rezolutie;timp_rezolutie;cpu_rezolutie;memorie_rezolutie;pasi_dp;timp_dp;cpu_dp;memorie_dp;pasi_dpll;timp_dpll;cpu_dpll;memorie_dpll;rezultat
2771;23,683838;23,046875;2,06;308;0,026745;0,031250;0,00;163;0,020594;0,015625;0,00;SAT
3602;36,565886;36,156250;2,98;301;0,022099;0,031250;0,03;175;0,021688;0,015625;0,06;SAT
200;0,016421;0,015625;1,05;305;0,022290;0,015625;0,00;2;0,000356;0,000000;0,00;UNSAT
200;0,026363;0,031250;0,00;302;0,024015;0,031250;0,00;2;0,002654;0,000000;0,00;UNSAT
1094;3,879347;3,687500;1,79;285;0,024529;0,015625;0,00;165;0,017785;0,015625;0,00;SAT
200;0,006951;0,000000;0,33;276;0,022052;0,031250;0,00;2;0,000338;0,000000;0,00;UNSAT
1914;7,489568;7,218750;1,83;303;0,030015;0,031250;0,00;166;0,024800;0,031250;0,00;SAT
200;0,038887;0,046875;0,00;289;0,023385;0,015625;0,03;2;0,001044;0,000000;0,00;UNSAT
200;0,016752;0,015625;1,10;300;0,023856;0,031250;0,00;2;0,000377;0,000000;0,00;UNSAT
1788;8,592694;8,312500;2,18;295;0,022742;0,031250;0,00;174;0,027421;0,000000;0,00;SAT
3124;57,461495;56,281250;2,31;296;0,029972;0,031250;0,00;162;0,024930;0,015625;0,00;SAT
1021;1,132173;1,093750;0,00;278;0,022498;0,000000;0,03;173;0,020237;0,015625;0,58;SAT
200;0,029233;0,015625;0,15;301;0,023756;0,031250;0,04;2;0,000364;0,000000;0,00;UNSAT
200;0,011808;0,000000;0,00;306;0,023054;0,015625;0,14;2;0,000360;0,000000;0,00;UNSAT
200;0,009926;0,015625;0,00;296;0,023217;0,015625;0,00;2;0,000442;0,000000;0,00;UNSAT
4499;43,082819;41,984375;1,95;280;0,025103;0,015625;0,03;164;0,021347;0,000000;0,38;SAT
200;0,015750;0,015625;0,03;291;0,020868;0,031250;0,00;2;0,000363;0,000000;0,00;UNSAT
1842;9,400138;9,187500;1,42;301;0,028626;0,015625;0,00;175;0,022185;0,031250;0,25;SAT
3338;28,952683;28,328125;2,09;293;0,023462;0,015625;0,00;173;0,026702;0,015625;0,06;SAT
2308;18,708788;18,265625;1,77;294;0,025599;0,015625;0,00;170;0,030569;0,000000;0,06;SAT
200;0,042066;0,046875;0,00;286;0,022858;0,031250;0,18;2;0,000368;0,000000;0,00;UNSAT
5001;85,707270;84,328125;1,80;290;0,029202;0,015625;0,03;162;0,028081;0,015625;0,41;SAT
200;0,014492;0,015625;0,00;292;0,039547;0,031250;0,00;2;0,001319;0,000000;0,00;UNSAT
4428;46,649388;45,562500;1,00;298;0,030054;0,015625;0,03;166;0,019715;0,015625;0,18;SAT
1119;1,271503;1,203125;0,00;295;0,024007;0,015625;0,00;166;0,022796;0,015625;0,07;SAT
2203;12,080404;11,828125;3,24;301;0,025467;0,015625;0,00;172;0,032533;0,031250;0,00;SAT
200;0,024706;0,015625;0,93;296;0,023861;0,015625;0,00;2;0,002430;0,000000;0,00;UNSAT
200;0,008086;0,015625;0,00;283;0,029567;0,015625;0,00;2;0,005978;0,000000;0,00;UNSAT
4322;52,695920;51,765625;0,90;302;0,030769;0,015625;0,03;167;0,032239;0,015625;0,21;SAT
2712;26,031502;25,437500;1,22;304;0,026592;0,015625;0,00;173;0,024617;0,031250;0,00;SAT
200;0,011156;0,000000;0,38;295;0,030947;0,031250;0,00;2;0,006061;0,000000;0,00;UNSAT
1852;7,857548;7,703125;1,74;297;0,025284;0,031250;0,00;171;0,022593;0,015625;0,25;SAT
200;0,020130;0,000000;0,00;295;0,023605;0,031250;0,12;2;0,008027;0,000000;0,00;UNSAT
3149;31,406060;30,781250;2,19;283;0,032270;0,031250;0,00;163;0,021158;0,015625;0,00;SAT
4170;47,534949;46,421875;0,77;304;0,022636;0,031250;0,07;165;0,019925;0,015625;0,36;SAT
200;0,047026;0,031250;1,11;296;0,031604;0,031250;0,00;2;0,002081;0,000000;0,00;UNSAT
3342;44,433540;43,359375;2,16;297;0,026632;0,015625;0,00;175;0,024728;0,015625;0,00;SAT
2373;21,154557;20,703125;3,27;297;0,026914;0,031250;0,00;173;0,022653;0,015625;0,00;SAT
4226;44,161044;42,859375;1,01;288;0,022911;0,015625;0,03;171;0,020806;0,031250;0,48;SAT
200;0,016233;0,015625;0,84;301;0,023093;0,015625;0,00;2;0,000375;0,000000;0,00;UNSAT
3714;32,679063;32,046875;0,84;279;0,030408;0,015625;0,03;172;0,029561;0,031250;0,50;SAT
5236;62,361800;61,031250;1,96;283;0,023216;0,031250;0,03;166;0,022216;0,015625;0,23;SAT
4284;54,659240;53,687500;1,92;287;0,024201;0,015625;0,03;170;0,028051;0,031250;0,00;SAT
2558;29,190602;28,375000;1,57;292;0,023047;0,015625;0,00;174;0,019452;0,015625;0,00;SAT
200;0,007845;0,000000;0,45;298;0,023608;0,031250;0,00;2;0,001175;0,000000;0,00;UNSAT
1737;9,561989;9,156250;1,39;289;0,029395;0,031250;0,00;167;0,022040;0,015625;0,00;SAT
1599;10,144941;9,953125;2,09;285;0,024585;0,000000;0,00;171;0,027115;0,015625;0,05;SAT
200;0,016614;0,031250;0,40;295;0,023272;0,015625;0,00;2;0,003530;0,000000;0,00;UNSAT
200;0,033291;0,015625;0,00;286;0,025589;0,000000;0,00;2;0,007039;0,000000;0,00;UNSAT
3621;53,742483;52,328125;1,31;300;0,022514;0,015625;0,02;174;0,022383;0,015625;0,21;SAT
200;0,084852;0,078125;0,00;296;0,030995;0,015625;0,18;2;0,003116;0,000000;0,00;UNSAT
200;0,006644;0,015625;0,70;280;0,026418;0,000000;0,00;2;0,007190;0,000000;0,00;UNSAT
1816;8,121563;7,687500;1,46;298;0,026444;0,031250;0,00;176;0,021403;0,015625;0,30;SAT
200;0,066930;0,046875;0,00;286;0,023822;0,031250;0,02;2;0,008223;0,000000;0,00;UNSAT
2602;19,740415;18,890625;3,41;294;0,031739;0,015625;0,00;170;0,019787;0,015625;0,00;SAT
2621;18,555206;17,546875;1,24;298;0,021676;0,015625;0,00;171;0,024198;0,031250;0,00;SAT
3603;40,539005;39,546875;1,84;310;0,024461;0,015625;0,03;164;0,019075;0,031250;0,14;SAT
4841;74,076700;72,109375;1,67;291;0,022033;0,031250;0,03;170;0,028292;0,015625;0,33;SAT
3158;41,882287;40,828125;1,75;305;0,026015;0,015625;0,00;169;0,028688;0,015625;0,02;SAT
2892;25,077225;24,437500;2,21;284;0,022590;0,015625;0,00;175;0,021447;0,031250;0,00;SAT
3371;28,724526;28,171875;2,48;285;0,024148;0,000000;0,00;172;0,020748;0,015625;0,00;SAT
200;0,007451;0,015625;0,81;282;0,026130;0,031250;0,05;2;0,002358;0,000000;0,00;UNSAT
200;0,018053;0,000000;0,00;290;0,025217;0,031250;0,03;2;0,000859;0,000000;0,00;UNSAT
200;0,063359;0,062500;0,97;286;0,024495;0,015625;0,00;2;0,005601;0,000000;0,00;UNSAT
2821;30,356310;29,578125;0,98;302;0,035440;0,031250;0,00;175;0,019686;0,015625;0,22;SAT
200;0,034142;0,015625;1,07;269;0,030020;0,015625;0,00;2;0,002999;0,000000;0,00;UNSAT
200;0,042093;0,031250;0,00;294;0,026603;0,015625;0,00;2;0,002397;0,000000;0,00;UNSAT
1005;1,045680;1,000000;0,00;290;0,023844;0,015625;0,00;172;0,020989;0,031250;0,11;SAT
1008;1,071620;1,031250;0,00;286;0,029397;0,031250;0,00;158;0,023576;0,015625;0,23;SAT
2148;16,845841;16,546875;2,00;296;0,026605;0,015625;0,00;166;0,030143;0,031250;0,00;SAT
3510;36,322641;35,546875;2,29;289;0,025322;0,015625;0,03;168;0,021278;0,031250;0,32;SAT
1005;1,444058;1,375000;0,00;297;0,031120;0,031250;0,00;171;0,025838;0,031250;0,18;SAT
3310;40,771522;39,781250;3,10;263;0,030881;0,015625;0,00;171;0,019900;0,015625;0,07;SAT
5244;56,861382;55,906250;1,98;286;0,027437;0,031250;0,03;166;0,029512;0,031250;0,32;SAT
200;0,014989;0,000000;0,73;294;0,022841;0,015625;0,03;2;0,001115;0,000000;0,00;UNSAT
2959;28,836037;28,156250;2,65;298;0,025263;0,015625;0,00;175;0,026541;0,015625;0,08;SAT
200;0,015729;0,015625;0,09;296;0,021365;0,015625;0,00;2;0,001058;0,015625;0,00;UNSAT
200;0,013401;0,015625;0,00;285;0,031278;0,031250;0,00;2;0,003850;0,000000;0,00;UNSAT
4070;38,444591;37,609375;0,89;312;0,023768;0,031250;0,03;179;0,023619;0,015625;0,33;SAT
200;0,037887;0,031250;0,93;291;0,027312;0,015625;0,00;2;0,002024;0,000000;0,00;UNSAT
4202;52,681478;50,828125;0,95;293;0,022914;0,031250;0,03;167;0,030236;0,015625;0,25;SAT
200;0,010623;0,000000;0,41;287;0,023902;0,031250;0,00;2;0,001009;0,000000;0,00;UNSAT
2804;25,182732;24,578125;0,68;285;0,021203;0,015625;0,00;169;0,019700;0,015625;0,07;SAT
200;0,007826;0,000000;1,02;292;0,026522;0,015625;0,03;2;0,005987;0,000000;0,00;UNSAT
200;0,012124;0,000000;0,01;288;0,024018;0,015625;0,00;2;0,000316;0,000000;0,00;UNSAT
200;0,032127;0,015625;0,00;290;0,031865;0,015625;0,03;2;0,000341;0,000000;0,00;UNSAT
200;0,018737;0,031250;0,00;281;0,022793;0,015625;0,03;2;0,000887;0,000000;0,00;UNSAT
200;0,015207;0,015625;0,01;299;0,023753;0,031250;0,00;2;0,000305;0,000000;0,00;UNSAT
200;0,032980;0,031250;0,00;303;0,026685;0,031250;0,00;2;0,000560;0,000000;0,00;UNSAT
3409;30,212228;29,515625;1,23;284;0,024394;0,015625;0,00;170;0,023742;0,015625;0,14;SAT
200;0,028141;0,031250;0,82;294;0,023404;0,015625;0,00;2;0,000346;0,000000;0,00;UNSAT
200;0,012099;0,000000;0,00;297;0,027517;0,015625;0,03;2;0,001310;0,000000;0,00;UNSAT
2503;18,984794;18,562500;1,95;292;0,022375;0,015625;0,00;168;0,020521;0,015625;0,00;SAT
200;0,019198;0,015625;0,39;293;0,021647;0,015625;0,03;2;0,000342;0,000000;0,00;UNSAT
5175;78,570101;76,625000;1,18;289;0,022742;0,015625;0,03;169;0,019042;0,031250;0,52;SAT
4616;62,997506;61,234375;2,56;292;0,021391;0,031250;0,03;173;0,023687;0,015625;0,35;SAT
2068;13,462687;13,062500;2,02;285;0,021777;0,015625;0,00;160;0,020105;0,031250;0,17;SAT
1421;4,790005;4,718750;1,78;295;0,025866;0,000000;0,00;173;0,019511;0,031250;0,22;SAT
4644;70,173218;68,281250;0,79;295;0,021133;0,031250;0,03;166;0,020452;0,015625;0,16;SAT
1339;5,612782;5,515625;1,01;302;0,024878;0,015625;0,00;168;0,022077;0,031250;0,42;SAT
5895;100,807856;98,515625;1,94;289;0,033498;0,031250;0,03;177;0,024262;0,031250;0,16;SAT
200;0,008025;0,000000;0,66;303;0,022583;0,031250;0,00;2;0,003933;0,000000;0,00;UNSAT
200;0,042060;0,046875;0,00;298;0,033080;0,031250;0,00;2;0,006914;0,000000;0,00;UNSAT
200;0,023377;0,015625;0,00;296;0,022158;0,031250;0,03;2;0,000876;0,000000;0,00;UNSAT
3325;43,600713;42,906250;2,08;281;0,022347;0,031250;0,00;174;0,024091;0,015625;0,11;SAT
3923;31,980192;31,312500;1,71;306;0,023369;0,015625;0,03;174;0,022586;0,015625;0,37;SAT
1035;1,141614;1,125000;0,00;278;0,024438;0,015625;0,00;175;0,023585;0,031250;0,60;SAT
200;0,012350;0,015625;0,00;287;0,021307;0,015625;0,16;2;0,000727;0,000000;0,00;UNSAT
200;0,055232;0,046875;1,20;306;0,022134;0,015625;0,00;2;0,000365;0,000000;0,00;UNSAT
200;0,043720;0,031250;0,02;286;0,022013;0,031250;0,00;2;0,000365;0,000000;0,00;UNSAT
7748;152,197203;149,796875;1,08;297;0,026536;0,015625;0,03;168;0,027738;0,031250;0,00;SAT
3486;37,103798;35,890625;1,92;290;0,022294;0,031250;0,03;172;0,024368;0,015625;0,40;SAT
2003;10,886279;10,656250;2,04;283;0,024489;0,031250;0,00;168;0,024426;0,000000;0,00;SAT
2685;19,325853;18,593750;1,34;289;0,023653;0,015625;0,00;169;0,020495;0,031250;0,13;SAT
6393;105,695193;103,359375;0,82;300;0,023028;0,015625;0,03;176;0,021195;0,015625;0,30;SAT
1082;3,039580;3,015625;2,85;302;0,034435;0,015625;0,00;175;0,023755;0,015625;0,08;SAT
1861;8,320825;8,031250;1,98;305;0,023304;0,015625;0,00;169;0,020511;0,015625;0,00;SAT
2374;17,856055;17,375000;2,03;292;0,028653;0,015625;0,00;170;0,032347;0,015625;0,00;SAT
2892;25,841536;25,000000;2,32;291;0,029173;0,015625;0,00;174;0,026381;0,015625;0,00;SAT
2207;12,828407;12,484375;1,81;273;0,028573;0,015625;0,00;174;0,030383;0,015625;0,18;SAT
200;0,021283;0,000000;0,48;312;0,026975;0,031250;0,03;2;0,000946;0,000000;0,00;UNSAT
200;0,007579;0,000000;0,00;303;0,033613;0,015625;0,00;2;0,000584;0,000000;0,00;UNSAT
2407;21,515979;20,703125;0,81;284;0,023230;0,015625;0,00;170;0,019801;0,015625;0,21;SAT
200;0,024714;0,015625;0,82;276;0,024895;0,031250;0,00;2;0,000626;0,000000;0,00;UNSAT
1118;1,261142;1,250000;0,00;272;0,027380;0,031250;0,00;167;0,032557;0,031250;0,00;SAT
3742;36,917426;36,078125;1,98;282;0,036526;0,031250;0,03;169;0,025244;0,031250;0,09;SAT
200;0,010740;0,000000;0,00;294;0,029588;0,031250;0,13;2;0,004743;0,000000;0,00;UNSAT
200;0,026502;0,015625;0,85;293;0,023629;0,015625;0,00;2;0,012045;0,000000;0,00;UNSAT
1037;1,105129;1,031250;0,00;286;0,030487;0,031250;0,00;169;0,032238;0,015625;0,46;SAT
3436;34,960418;34,203125;3,00;285;0,022965;0,015625;0,00;173;0,021009;0,031250;0,00;SAT
2726;31,745843;31,125000;2,19;292;0,026598;0,031250;0,00;168;0,021544;0,015625;0,00;SAT
1142;13,018869;12,750000;0,62;302;0,023723;0,015625;0,00;168;0,018639;0,015625;0,31;SAT
1539;5,867777;5,671875;1,87;311;0,028467;0,031250;0,00;165;0,028109;0,031250;0,00;SAT
4878;74,625463;72,750000;1,81;311;0,021717;0,015625;0,03;174;0,020360;0,015625;0,00;SAT
2473;18,880372;18,531250;1,85;298;0,027438;0,015625;0,00;172;0,020949;0,015625;0,00;SAT
200;0,029458;0,015625;0,00;277;0,022561;0,031250;0,08;2;0,000380;0,000000;0,00;UNSAT
1971;10,318225;10,187500;2,31;304;0,041692;0,015625;0,00;169;0,027406;0,015625;0,00;SAT
5241;76,773811;75,203125;1,79;281;0,029548;0,031250;0,03;167;0,021941;0,015625;0,08;SAT
200;0,015834;0,000000;0,00;299;0,022904;0,031250;0,03;2;0,001065;0,000000;0,00;UNSAT
3383;32,656511;32,140625;2,54;296;0,034648;0,031250;0,00;175;0,024450;0,015625;0,00;SAT
4822;66,511331;64,875000;0,86;304;0,031605;0,031250;0,03;167;0,025167;0,015625;0,30;SAT
200;0,007637;0,000000;0,21;297;0,021461;0,015625;0,05;2;0,000351;0,000000;0,00;UNSAT
1570;6,364243;6,140625;1,61;300;0,025153;0,015625;0,00;159;0,028057;0,015625;0,00;SAT
4322;58,263356;56,796875;1,93;310;0,027407;0,031250;0,03;171;0,021866;0,015625;0,63;SAT
200;0,045900;0,015625;0,93;301;0,025291;0,031250;0,00;2;0,004768;0,000000;0,00;UNSAT
5004;91,450755;89,921875;0,20;275;0,033597;0,000000;0,03;167;0,021016;0,031250;0,14;SAT
200;0,042224;0,046875;0,00;313;0,023532;0,015625;0,03;2;0,001036;0,000000;0,00;UNSAT
2378;18,283219;17,828125;2,09;303;0,029741;0,031250;0,00;171;0,025649;0,015625;0,00;SAT
200;0,011856;0,015625;0,97;283;0,020593;0,015625;0,00;2;0,000347;0,000000;0,00;UNSAT
3763;47,713930;46,781250;0,93;285;0,023051;0,015625;0,03;167;0,021140;0,031250;0,07;SAT
200;0,009267;0,000000;0,83;287;0,032601;0,046875;0,00;2;0,006903;0,000000;0,00;UNSAT
5495;75,622326;74,515625;1,04;280;0,024686;0,015625;0,03;176;0,021214;0,031250;0,11;SAT
200;0,060581;0,046875;0,93;288;0,022922;0,015625;0,00;2;0,000723;0,000000;0,00;UNSAT
2758;24,116584;23,531250;1,21;307;0,024590;0,015625;0,00;180;0,027649;0,031250;0,00;SAT
3921;37,921597;37,328125;1,84;300;0,031494;0,015625;0,03;173;0,021242;0,015625;0,24;SAT
1206;4,180772;4,109375;2,92;300;0,028125;0,015625;0,00;171;0,021156;0,015625;0,02;SAT
200;0,038333;0,031250;0,00;300;0,022129;0,015625;0,03;2;0,000717;0,000000;0,00;UNSAT
2114;10,980920;10,671875;2,28;293;0,023052;0,015625;0,00;172;0,022661;0,031250;0,00;SAT
7182;128,097882;125,375000;0,69;300;0,030838;0,015625;0,03;163;0,022419;0,031250;0,38;SAT
1254;4,994108;4,812500;1,23;278;0,022142;0,015625;0,00;163;0,024277;0,015625;0,00;SAT
1396;6,142682;5,906250;2,05;283;0,023998;0,015625;0,00;163;0,029471;0,015625;0,46;SAT
3368;24,299309;23,640625;1,95;288;0,028384;0,015625;0,00;174;0,023212;0,015625;0,12;SAT
200;0,022763;0,015625;0,39;298;0,024546;0,031250;0,03;2;0,004086;0,000000;0,00;UNSAT
200;0,031259;0,015625;0,01;299;0,025503;0,031250;0,00;2;0,002941;0,000000;0,00;UNSAT
200;0,020469;0,015625;0,00;293;0,040369;0,031250;0,00;2;0,007540;0,000000;0,00;UNSAT
2343;15,849797;15,609375;1,77;299;0,025211;0,031250;0,00;169;0,020589;0,015625;0,00;SAT
4972;58,418842;57,328125;0,35;294;0,022074;0,015625;0,03;184;0,028442;0,015625;0,00;SAT
1650;7,233600;7,078125;1,98;298;0,027104;0,031250;0,00;172;0,025251;0,015625;0,00;SAT
